PortfolioCode,Date,AllocationType,Position,Weight,,
Atchison70ACTIVE,1-Apr-20,Tactical,IVV-AU,9.027980000,,
Atchison70ACTIVE,1-Apr-20,Tactical,IHVV-AU,6.018650000,,
Atchison70ACTIVE,1-Apr-20,Tactical,VEQ-AU,3.009320000,,
Atchison70ACTIVE,1-Apr-20,Tactical,ETL7377AU,9.682300000,,
Atchison70ACTIVE,1-Apr-20,Tactical,GSF6910AU,4.841150000,,
Atchison70ACTIVE,1-Apr-20,Tactical,PIM7802AU,2.420570000,,
Atchison70ACTIVE,1-Apr-20,Tactical,BLK4709AU,0.859800000,,
Atchison70ACTIVE,1-Apr-20,Tactical,BLK9419AU,1.719610000,,
Atchison70ACTIVE,1-Apr-20,Tactical,LAM0044AU,1.037380000,,
Atchison70ACTIVE,1-Apr-20,Tactical,GTU5547AU,1.037380000,,
Atchison70ACTIVE,1-Apr-20,Tactical,TGP0016AU,0.345790000,,
Atchison70ACTIVE,1-Apr-20,Tactical,GPEQ-AU,0.500000000,,
Atchison70ACTIVE,1-Apr-20,Tactical,AUS0035AU,0.750000000,,
Atchison70ACTIVE,1-Apr-20,Tactical,EQI4297AU,0.250000000,,
Atchison70ACTIVE,1-Apr-20,Tactical,MAQ5143AU,0.250000000,,
Atchison70ACTIVE,1-Apr-20,Tactical,PER0728AU,1.250000000,,
Atchison70ACTIVE,1-Apr-20,Tactical,PIM1038AU,1.750000000,,
Atchison70ACTIVE,1-Apr-20,Tactical,CNA0805AU,0.250000000,,
Atchison70ACTIVE,1-Apr-20,Tactical,IAF-AU,2.072750000,,
Atchison70ACTIVE,1-Apr-20,Tactical,AESG-AU,1.381830000,,
Atchison70ACTIVE,1-Apr-20,Tactical,ILB-AU,1.381830000,,
Atchison70ACTIVE,1-Apr-20,Tactical,ETL5525AU,1.512850000,,
Atchison70ACTIVE,1-Apr-20,Tactical,SSB0122AU,3.025710000,,
Atchison70ACTIVE,1-Apr-20,Tactical,FLOT-AU,1.450920000,,
Atchison70ACTIVE,1-Apr-20,Tactical,ISEC-AU,1.450920000,,
Atchison70ACTIVE,1-Apr-20,Tactical,IOF0127AU,0.680780000,,
Atchison70ACTIVE,1-Apr-20,Tactical,WPC1963AU,1.021180000,,
Atchison70ACTIVE,1-Apr-20,Tactical,CSA0038AU,1.021180000,,
Atchison70ACTIVE,1-Apr-20,Tactical,BILL-AU,5.000150000,,
Atchison70ACTIVE,8-Jan-21,Strategic,IOZ-AU,39.000000000,,
Atchison70ACTIVE,8-Jan-21,Strategic,VGS-AU,42.000000000,,
Atchison70ACTIVE,8-Jan-21,Strategic,IAF-AU,5.000000000,,
Atchison70ACTIVE,8-Jan-21,Strategic,VBND-AU,5.000000000,,
Atchison70ACTIVE,8-Jan-21,Strategic,BILL-AU,9.000000000,,
Atchison70ACTIVE,8-Jan-21,Tactical,IOZ-AU,17.540090000,,
Atchison70ACTIVE,8-Jan-21,Tactical,HOW2217AU,2.351410000,,
Atchison70ACTIVE,8-Jan-21,Tactical,SCH0101AU,4.702830000,,
Atchison70ACTIVE,8-Jan-21,Tactical,AAP5529AU,1.175700000,,
Atchison70ACTIVE,8-Jan-21,Tactical,CNA0812AU,1.175700000,,
Atchison70ACTIVE,8-Jan-21,Tactical,ALR2783AU,2.351410000,,
Atchison70ACTIVE,8-Jan-21,Tactical,HOW0035AU,4.702830000,,
Atchison70ACTIVE,8-Jan-21,Tactical,IVV-AU,9.543870000,,
Atchison70ACTIVE,8-Jan-21,Tactical,IHVV-AU,6.362580000,,
Atchison70ACTIVE,8-Jan-21,Tactical,VEQ-AU,3.181290000,,
Atchison70ACTIVE,8-Jan-21,Tactical,ETL7377AU,10.235570000,,
Atchison70ACTIVE,8-Jan-21,Tactical,GSF6910AU,5.117780000,,
Atchison70ACTIVE,8-Jan-21,Tactical,PIM7802AU,2.558890000,,
Atchison70ACTIVE,8-Jan-21,Tactical,BLK4709AU,0.859800000,,
Atchison70ACTIVE,8-Jan-21,Tactical,BLK9419AU,1.719610000,,
Atchison70ACTIVE,8-Jan-21,Tactical,LAM0044AU,1.037380000,,
Atchison70ACTIVE,8-Jan-21,Tactical,GTU5547AU,1.037380000,,
Atchison70ACTIVE,8-Jan-21,Tactical,TGP0016AU,0.345790000,,
Atchison70ACTIVE,8-Jan-21,Tactical,GPEQ-AU,0.500000000,,
Atchison70ACTIVE,8-Jan-21,Tactical,AUS0035AU,0.750000000,,
Atchison70ACTIVE,8-Jan-21,Tactical,EQI4297AU,0.250000000,,
Atchison70ACTIVE,8-Jan-21,Tactical,MAQ5143AU,0.250000000,,
Atchison70ACTIVE,8-Jan-21,Tactical,PER0728AU,1.250000000,,
Atchison70ACTIVE,8-Jan-21,Tactical,PIM1038AU,1.750000000,,
Atchison70ACTIVE,8-Jan-21,Tactical,CNA0805AU,0.250000000,,
Atchison70ACTIVE,8-Jan-21,Tactical,IAF-AU,1.381830000,,
Atchison70ACTIVE,8-Jan-21,Tactical,AESG-AU,0.921220000,,
Atchison70ACTIVE,8-Jan-21,Tactical,ILB-AU,0.921220000,,
Atchison70ACTIVE,8-Jan-21,Tactical,ETL5525AU,1.008570000,,
Atchison70ACTIVE,8-Jan-21,Tactical,SSB0122AU,2.017140000,,
Atchison70ACTIVE,8-Jan-21,Tactical,FLOT-AU,0.967280000,,
Atchison70ACTIVE,8-Jan-21,Tactical,ISEC-AU,0.967280000,,
Atchison70ACTIVE,8-Jan-21,Tactical,IOF0127AU,0.453850000,,
Atchison70ACTIVE,8-Jan-21,Tactical,WPC1963AU,0.680780000,,
Atchison70ACTIVE,8-Jan-21,Tactical,CSA0038AU,0.680780000,,
Atchison70ACTIVE,8-Jan-21,Tactical,BILL-AU,9.000140000,,
Atchison70ACTIVE,2-Jan-22,Strategic,IOZ-AU,42.000000000,,
Atchison70ACTIVE,2-Jan-22,Strategic,VGS-AU,32.000000000,,
Atchison70ACTIVE,2-Jan-22,Strategic,IAF-AU,4.000000000,,
Atchison70ACTIVE,2-Jan-22,Strategic,VBND-AU,4.000000000,,
Atchison70ACTIVE,2-Jan-22,Strategic,BILL-AU,18.000000000,,
Atchison70ACTIVE,2-Jan-22,Tactical,IOZ-AU,19.087745000,,
Atchison70ACTIVE,2-Jan-22,Tactical,HOW2217AU,2.558893000,,
Atchison70ACTIVE,2-Jan-22,Tactical,SCH0101AU,5.117787000,,
Atchison70ACTIVE,2-Jan-22,Tactical,AAP5529AU,1.279446000,,
Atchison70ACTIVE,2-Jan-22,Tactical,CNA0812AU,1.279446000,,
Atchison70ACTIVE,2-Jan-22,Tactical,ALR2783AU,2.558893000,,
Atchison70ACTIVE,2-Jan-22,Tactical,HOW0035AU,5.117787000,,
Atchison70ACTIVE,2-Jan-22,Tactical,IVV-AU,6.964447000,,
Atchison70ACTIVE,2-Jan-22,Tactical,IHVV-AU,4.642965000,,
Atchison70ACTIVE,2-Jan-22,Tactical,VEQ-AU,2.321482000,,
Atchison70ACTIVE,2-Jan-22,Tactical,ETL7377AU,7.469202000,,
Atchison70ACTIVE,2-Jan-22,Tactical,GSF6910AU,3.734601000,,
Atchison70ACTIVE,2-Jan-22,Tactical,PIM7802AU,1.867300000,,
Atchison70ACTIVE,2-Jan-22,Tactical,BLK4709AU,0.859808000,,
Atchison70ACTIVE,2-Jan-22,Tactical,BLK9419AU,1.719616000,,
Atchison70ACTIVE,2-Jan-22,Tactical,LAM0044AU,1.037389000,,
Atchison70ACTIVE,2-Jan-22,Tactical,GTU5547AU,1.037389000,,
Atchison70ACTIVE,2-Jan-22,Tactical,TGP0016AU,0.345796000,,
Atchison70ACTIVE,2-Jan-22,Tactical,GPEQ-AU,0.500000000,,
Atchison70ACTIVE,2-Jan-22,Tactical,AUS0035AU,0.750000000,,
Atchison70ACTIVE,2-Jan-22,Tactical,EQI4297AU,0.250000000,,
Atchison70ACTIVE,2-Jan-22,Tactical,MAQ5143AU,0.250000000,,
Atchison70ACTIVE,2-Jan-22,Tactical,PER0728AU,1.250000000,,
Atchison70ACTIVE,2-Jan-22,Tactical,PIM1038AU,1.750000000,,
Atchison70ACTIVE,2-Jan-22,Tactical,CNA0805AU,0.250000000,,
Atchison70ACTIVE,2-Jan-22,Tactical,IAF-AU,1.105467000,,
Atchison70ACTIVE,2-Jan-22,Tactical,AESG-AU,0.736978000,,
Atchison70ACTIVE,2-Jan-22,Tactical,ILB-AU,0.736978000,,
Atchison70ACTIVE,2-Jan-22,Tactical,ETL5525AU,0.806858000,,
Atchison70ACTIVE,2-Jan-22,Tactical,SSB0122AU,1.613716000,,
Atchison70ACTIVE,2-Jan-22,Tactical,FLOT-AU,0.773827000,,
Atchison70ACTIVE,2-Jan-22,Tactical,ISEC-AU,0.773827000,,
Atchison70ACTIVE,2-Jan-22,Tactical,IOF0127AU,0.363086000,,
Atchison70ACTIVE,2-Jan-22,Tactical,WPC1963AU,0.544629000,,
Atchison70ACTIVE,2-Jan-22,Tactical,CSA0038AU,0.544629000,,
Atchison70ACTIVE,2-Jan-22,Tactical,BILL-AU,18.000013000,,
Atchison70ACTIVE,20-Jan-23,Strategic,IOZ-AU,22.500000000,,
Atchison70ACTIVE,20-Jan-23,Strategic,VGS-AU,22.500000000,,
Atchison70ACTIVE,20-Jan-23,Strategic,BLK4709AU,6.250000000,,
Atchison70ACTIVE,20-Jan-23,Strategic,VBLD-AU,6.250000000,,
Atchison70ACTIVE,20-Jan-23,Strategic,ATCHBM00002,12.500000000,,
Atchison70ACTIVE,20-Jan-23,Strategic,IAF-AU,6.250000000,,
Atchison70ACTIVE,20-Jan-23,Strategic,VBND-AU,6.250000000,,
Atchison70ACTIVE,20-Jan-23,Strategic,FLOT-AU,12.500000000,,
Atchison70ACTIVE,20-Jan-23,Strategic,BILL-AU,5.000000000,,
Atchison70ACTIVE,20-Jan-23,Tactical,IOZ-AU,7.976550000,,
Atchison70ACTIVE,20-Jan-23,Tactical,HOW2217AU,2.074778000,,
Atchison70ACTIVE,20-Jan-23,Tactical,SCH0101AU,4.149557000,,
Atchison70ACTIVE,20-Jan-23,Tactical,AAP5529AU,1.037389000,,
Atchison70ACTIVE,20-Jan-23,Tactical,CNA0812AU,1.037389000,,
Atchison70ACTIVE,20-Jan-23,Tactical,ALR2783AU,2.074778000,,
Atchison70ACTIVE,20-Jan-23,Tactical,HOW0035AU,4.149557000,,
Atchison70ACTIVE,20-Jan-23,Tactical,IVV-AU,9.543872000,,
Atchison70ACTIVE,20-Jan-23,Tactical,IHVV-AU,6.362581000,,
Atchison70ACTIVE,20-Jan-23,Tactical,VEQ-AU,3.181290000,,
Atchison70ACTIVE,20-Jan-23,Tactical,ETL7377AU,10.235574000,,
Atchison70ACTIVE,20-Jan-23,Tactical,GSF6910AU,5.117787000,,
Atchison70ACTIVE,20-Jan-23,Tactical,PIM7802AU,2.558893000,,
Atchison70ACTIVE,20-Jan-23,Tactical,BLK4709AU,0.859808000,,
Atchison70ACTIVE,20-Jan-23,Tactical,BLK9419AU,1.719616000,,
Atchison70ACTIVE,20-Jan-23,Tactical,LAM0044AU,1.037389000,,
Atchison70ACTIVE,20-Jan-23,Tactical,TGP0016AU,0.345796000,,
Atchison70ACTIVE,20-Jan-23,Tactical,GPEQ-AU,0.500000000,,
Atchison70ACTIVE,20-Jan-23,Tactical,AUS0035AU,0.750000000,,
Atchison70ACTIVE,20-Jan-23,Tactical,EQI4297AU,0.250000000,,
Atchison70ACTIVE,20-Jan-23,Tactical,MAQ5143AU,0.250000000,,
Atchison70ACTIVE,20-Jan-23,Tactical,SSB0495AU,1.037389000,,
Atchison70ACTIVE,20-Jan-23,Tactical,PER0728AU,1.250000000,,
Atchison70ACTIVE,20-Jan-23,Tactical,PIM1038AU,1.750000000,,
Atchison70ACTIVE,20-Jan-23,Tactical,CNA0805AU,0.250000000,,
Atchison70ACTIVE,20-Jan-23,Tactical,IAF-AU,1.658201000,,
Atchison70ACTIVE,20-Jan-23,Tactical,AESG-AU,1.105467000,,
Atchison70ACTIVE,20-Jan-23,Tactical,ILB-AU,1.105467000,,
Atchison70ACTIVE,20-Jan-23,Tactical,ETL5525AU,1.210287000,,
Atchison70ACTIVE,20-Jan-23,Tactical,SSB0122AU,2.420575000,,
Atchison70ACTIVE,20-Jan-23,Tactical,FLOT-AU,4.910741000,,
Atchison70ACTIVE,20-Jan-23,Tactical,ISEC-AU,4.910741000,,
Atchison70ACTIVE,20-Jan-23,Tactical,IOF0127AU,0.544629000,,
Atchison70ACTIVE,20-Jan-23,Tactical,WPC1963AU,0.816944000,,
Atchison70ACTIVE,20-Jan-23,Tactical,CSA0038AU,0.816944000,,
Atchison70ACTIVE,20-Jan-23,Tactical,BILL-AU,11.000011000,,
Atchison70ACTIVE,31-Mar-23,Tactical,IOZ-AU,15.476550000,,
Atchison70ACTIVE,31-Mar-23,Tactical,HOW2217AU,2.074778000,,
Atchison70ACTIVE,31-Mar-23,Tactical,SCH0101AU,4.149557000,,
Atchison70ACTIVE,31-Mar-23,Tactical,AAP5529AU,1.037389000,,
Atchison70ACTIVE,31-Mar-23,Tactical,CNA0812AU,1.037389000,,
Atchison70ACTIVE,31-Mar-23,Tactical,ALR2783AU,2.074778000,,
Atchison70ACTIVE,31-Mar-23,Tactical,HOW0035AU,4.149557000,,
Atchison70ACTIVE,31-Mar-23,Tactical,IVV-AU,9.543872000,,
Atchison70ACTIVE,31-Mar-23,Tactical,IHVV-AU,6.362581000,,
Atchison70ACTIVE,31-Mar-23,Tactical,VEQ-AU,3.181290000,,
Atchison70ACTIVE,31-Mar-23,Tactical,ETL7377AU,10.235574000,,
Atchison70ACTIVE,31-Mar-23,Tactical,GSF6910AU,5.117787000,,
Atchison70ACTIVE,31-Mar-23,Tactical,PIM7802AU,2.558893000,,
Atchison70ACTIVE,31-Mar-23,Tactical,BLK4709AU,0.859808000,,
Atchison70ACTIVE,31-Mar-23,Tactical,BLK9419AU,1.719616000,,
Atchison70ACTIVE,31-Mar-23,Tactical,LAM0044AU,1.037389000,,
Atchison70ACTIVE,31-Mar-23,Tactical,TGP0016AU,0.345796000,,
Atchison70ACTIVE,31-Mar-23,Tactical,GPEQ-AU,0.500000000,,
Atchison70ACTIVE,31-Mar-23,Tactical,AUS0035AU,0.750000000,,
Atchison70ACTIVE,31-Mar-23,Tactical,EQI4297AU,0.250000000,,
Atchison70ACTIVE,31-Mar-23,Tactical,MAQ5143AU,0.250000000,,
Atchison70ACTIVE,31-Mar-23,Tactical,SSB0495AU,1.037389000,,
Atchison70ACTIVE,31-Mar-23,Tactical,PER0728AU,1.250000000,,
Atchison70ACTIVE,31-Mar-23,Tactical,PIM1038AU,1.750000000,,
Atchison70ACTIVE,31-Mar-23,Tactical,CNA0805AU,0.250000000,,
Atchison70ACTIVE,31-Mar-23,Tactical,IAF-AU,1.658201000,,
Atchison70ACTIVE,31-Mar-23,Tactical,AESG-AU,1.105467000,,
Atchison70ACTIVE,31-Mar-23,Tactical,ILB-AU,1.105467000,,
Atchison70ACTIVE,31-Mar-23,Tactical,ETL5525AU,1.210287000,,
Atchison70ACTIVE,31-Mar-23,Tactical,SSB0122AU,2.420575000,,
Atchison70ACTIVE,31-Mar-23,Tactical,FLOT-AU,1.160741000,,
Atchison70ACTIVE,31-Mar-23,Tactical,ISEC-AU,1.160741000,,
Atchison70ACTIVE,31-Mar-23,Tactical,IOF0127AU,0.544629000,,
Atchison70ACTIVE,31-Mar-23,Tactical,WPC1963AU,0.816944000,,
Atchison70ACTIVE,31-Mar-23,Tactical,CSA0038AU,0.816944000,,
Atchison70ACTIVE,31-Mar-23,Tactical,BILL-AU,11.000011000,,
Atchison70ACTIVE,31-Jul-23,Tactical,IOZ-AU,10.476550000,,
Atchison70ACTIVE,31-Jul-23,Tactical,HOW2217AU,2.074778000,,
Atchison70ACTIVE,31-Jul-23,Tactical,SCH0101AU,4.149557000,,
Atchison70ACTIVE,31-Jul-23,Tactical,AAP5529AU,1.037389000,,
Atchison70ACTIVE,31-Jul-23,Tactical,CNA0812AU,1.037389000,,
Atchison70ACTIVE,31-Jul-23,Tactical,ALR2783AU,2.074778000,,
Atchison70ACTIVE,31-Jul-23,Tactical,HOW0035AU,4.149557000,,
Atchison70ACTIVE,31-Jul-23,Tactical,IVV-AU,9.543872000,,
Atchison70ACTIVE,31-Jul-23,Tactical,IHVV-AU,6.362581000,,
Atchison70ACTIVE,31-Jul-23,Tactical,VEQ-AU,3.181290000,,
Atchison70ACTIVE,31-Jul-23,Tactical,ETL7377AU,10.235574000,,
Atchison70ACTIVE,31-Jul-23,Tactical,GSF6910AU,5.117787000,,
Atchison70ACTIVE,31-Jul-23,Tactical,PIM7802AU,2.558893000,,
Atchison70ACTIVE,31-Jul-23,Tactical,BLK4709AU,0.859808000,,
Atchison70ACTIVE,31-Jul-23,Tactical,BLK9419AU,1.719616000,,
Atchison70ACTIVE,31-Jul-23,Tactical,LAM0044AU,1.037389000,,
Atchison70ACTIVE,31-Jul-23,Tactical,TGP0016AU,0.345796000,,
Atchison70ACTIVE,31-Jul-23,Tactical,GPEQ-AU,0.500000000,,
Atchison70ACTIVE,31-Jul-23,Tactical,AUS0035AU,0.750000000,,
Atchison70ACTIVE,31-Jul-23,Tactical,EQI4297AU,0.250000000,,
Atchison70ACTIVE,31-Jul-23,Tactical,MAQ5143AU,0.250000000,,
Atchison70ACTIVE,31-Jul-23,Tactical,SSB0495AU,1.037389000,,
Atchison70ACTIVE,31-Jul-23,Tactical,PER0728AU,1.250000000,,
Atchison70ACTIVE,31-Jul-23,Tactical,PIM1038AU,1.750000000,,
Atchison70ACTIVE,31-Jul-23,Tactical,CNA0805AU,0.250000000,,
Atchison70ACTIVE,31-Jul-23,Tactical,IAF-AU,1.658201000,,
Atchison70ACTIVE,31-Jul-23,Tactical,AESG-AU,1.105467000,,
Atchison70ACTIVE,31-Jul-23,Tactical,ILB-AU,1.105467000,,
Atchison70ACTIVE,31-Jul-23,Tactical,ETL5525AU,1.210287000,,
Atchison70ACTIVE,31-Jul-23,Tactical,SSB0122AU,2.420575000,,
Atchison70ACTIVE,31-Jul-23,Tactical,FLOT-AU,3.660741000,,
Atchison70ACTIVE,31-Jul-23,Tactical,ISEC-AU,3.660741000,,
Atchison70ACTIVE,31-Jul-23,Tactical,IOF0127AU,0.544629000,,
Atchison70ACTIVE,31-Jul-23,Tactical,WPC1963AU,0.816944000,,
Atchison70ACTIVE,31-Jul-23,Tactical,CSA0038AU,0.816944000,,
Atchison70ACTIVE,31-Jul-23,Tactical,BILL-AU,11.000011000,,
Atchison70ACTIVE,1-Oct-23,Tactical,IOZ-AU,11.607412500,,
Atchison70ACTIVE,1-Oct-23,Tactical,HOW2217AU,1.556083929,,
Atchison70ACTIVE,1-Oct-23,Tactical,SCH0101AU,3.112167857,,
Atchison70ACTIVE,1-Oct-23,Tactical,AAP5529AU,0.778041964,,
Atchison70ACTIVE,1-Oct-23,Tactical,CNA0812AU,0.778041964,,
